GeoFips,GeoName,2019,2020,2021,2022,2023
10420,"Akron, OH",1.6,-3.5,4.5,-0.8,1.2
10580,"Albany-Schenectady-Troy, NY",4.4,-1.1,9.0,0.7,3.0
10740,"Albuquerque, NM",2.9,-1.1,5.5,4.1,3.4
10900,"Allentown-Bethlehem-Easton, PA-NJ",4.0,-3.8,3.3,1.4,2.8
12060,"Atlanta-Sandy Springs-Marietta, GA",4.0,-3.3,7.2,4.5,1.4
12260,"Augusta-Richmond County, GA-SC",1.9,-0.7,3.1,1.4,0.4
12420,"Austin-Round Rock, TX",6.5,3.3,11.0,9.2,5.1
12540,"Bakersfield, CA",3.5,0.4,1.7,-4.1,7.0
12580,"Baltimore-Towson, MD",0.6,-3.3,5.2,1.7,1.6
12940,"Baton Rouge, LA",-2.6,-8.0,5.3,2.4,2.2
13820,"Birmingham-Hoover, AL",1.3,-1.1,5.1,2.6,2.2
14260,"Boise City-Nampa, ID",4.7,0.8,9.2,6.6,2.2
14860,"Bridgeport-Stamford-Norwalk, CT",-1.9,-4.6,4.1,5.0,1.6
15380,"Buffalo-Niagara Falls, NY",2.3,-1.2,4.0,1.5,2.0
15980,"Cape Coral-Fort Myers, FL",2.4,-0.3,8.4,7.9,4.3
16700,"Charleston-North Charleston, SC",4.8,-2.9,5.4,7.3,7.3
16740,"Charlotte-Gastonia-Concord, NC-SC",3.5,1.1,6.8,4.4,5.4
17140,"Cincinnati-Middletown, OH-KY-IN",4.8,-1.8,4.4,0.7,1.6
17460,"Cleveland-Elyria-Mentor, OH",2.6,-3.6,5.7,2.0,0.9
17820,"Colorado Springs, CO",4.2,2.8,5.8,2.3,4.3
17900,"Columbia, SC",2.4,-1.1,5.8,2.7,2.9
18140,"Columbus, OH",3.2,-1.0,7.3,1.4,1.7
19380,"Dayton, OH",3.0,-1.2,4.4,1.0,2.0
19660,"Deltona-Daytona Beach-Ormond Beach, FL",2.4,0.5,5.6,5.6,5.0
19740,"Denver-Aurora, CO",5.4,0.2,7.2,5.5,3.8
19780,"Des Moines, IA",4.3,2.9,9.9,-0.7,0.3
21340,"El Paso, TX",5.4,0.6,6.3,5.6,5.0
22220,"Fayetteville-Springdale-Rogers, AR-MO",1.9,4.2,9.6,3.9,1.8
23420,"Fresno, CA",2.8,-1.3,3.6,0.1,3.8
24340,"Grand Rapids-Wyoming, MI",1.3,-2.5,5.0,3.1,1.5
24660,"Greensboro-High Point, NC",-1.1,-3.6,3.8,3.0,1.8
24860,"Greenville, SC",1.9,-3.3,5.2,5.5,2.9
25420,"Harrisburg-Carlisle, PA",3.1,-4.7,5.2,0.9,0.8
25540,"Hartford-West Hartford-East Hartford, C",1.0,-5.9,3.0,3.1,1.0
26420,"Houston-Baytown-Sugar Land, TX",-0.9,-1.2,7.3,2.8,6.2
26900,"Indianapolis, IN",2.3,-1.1,6.8,3.0,2.8
27260,"Jacksonville, FL",4.3,1.7,7.6,6.4,5.0
28140,"Kansas City, MO-KS",2.2,-2.2,3.3,5.3,-0.0
28940,"Knoxville, TN",1.7,1.0,9.3,4.2,4.1
29460,"Lakeland, FL",4.0,2.7,6.9,4.4,3.5
29820,"Las Vegas-Paradise, NV",4.5,-8.6,11.1,9.0,4.0
30780,"Little Rock-North Little Rock, AR",0.8,0.7,4.8,1.1,4.0
31140,"Louisville, KY-IN",3.7,-1.8,5.3,3.0,2.2
31540,"Madison, WI",2.8,-1.9,5.6,4.0,3.2
32580,"McAllen-Edinburg-Pharr, TX",3.8,-1.7,5.4,1.5,2.2
32820,"Memphis, TN-MS-AR",0.9,-1.2,5.6,-0.7,2.7
33340,"Milwaukee-Waukesha-West Allis, WI",1.5,-3.5,3.8,2.9,0.9
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.6,-3.5,5.8,2.3,1.2
34980,"Nashville-Davidson--Murfreesboro, TN",3.5,-0.8,11.5,6.1,4.6
35300,"New Haven-Milford, CT",1.6,-3.0,3.5,0.3,1.5
35380,"New Orleans-Metairie-Kenner, LA",2.3,-10.0,10.2,-1.5,1.5
36260,"Ogden-Clearfield, UT",4.5,2.2,6.3,1.1,3.7
36420,"Oklahoma City, OK",1.7,-2.8,1.0,-0.7,6.0
36540,"Omaha-Council Bluffs, NE-IA",1.1,-1.9,5.8,7.9,4.4
36740,"Orlando, FL",4.0,-4.3,11.8,6.9,5.0
37100,"Oxnard-Thousand Oaks-Ventura, CA",1.9,-1.0,3.6,-0.4,0.7
37340,"Palm Bay-Melbourne-Titusville, FL",5.1,1.1,11.0,6.3,6.3
38060,"Phoenix-Mesa-Scottsdale, AZ",4.7,2.3,8.8,5.4,3.4
38300,"Pittsburgh, PA",1.0,-5.0,3.6,0.7,3.0
38900,"Portland-Vancouver-Beaverton, OR-WA",2.5,-1.6,6.8,1.7,0.5
39300,"Providence-New Bedford-Fall River, RI-M",2.4,-3.1,5.0,0.2,0.9
39340,"Provo-Orem, UT",9.1,4.8,8.4,4.1,4.2
39580,"Raleigh-Cary, NC",3.1,0.0,8.7,5.2,5.3
40060,"Richmond, VA",2.5,-1.4,5.6,2.4,0.9
40140,"Riverside-San Bernardino-Ontario, CA",4.4,-0.9,6.3,1.7,1.3
40380,"Rochester, NY",2.7,-2.5,5.0,0.5,1.0
40900,"Sacramento--Arden-Arcade--Roseville, CA",3.6,-2.2,6.2,1.9,1.8
41180,"St. Louis, MO-IL",1.7,-2.0,5.8,2.3,2.8
41620,"Salt Lake City, UT",5.8,-0.1,9.0,3.0,3.3
41700,"San Antonio, TX",3.6,-1.0,5.5,8.2,5.0
41740,"San Diego-Carlsbad-San Marcos, CA",2.7,-1.5,7.4,2.6,1.8
41940,"San Jose-Sunnyvale-Santa Clara, CA",4.8,6.2,12.6,-3.1,2.2
44060,"Spokane, WA",3.0,0.6,8.3,3.2,2.1
44140,"Springfield, MA",1.9,-1.7,2.9,-0.5,1.7
44700,"Stockton, CA",3.2,-0.6,8.1,-1.2,-0.2
45060,"Syracuse, NY",2.4,-1.2,2.6,-0.1,0.4
45300,"Tampa-St. Petersburg-Clearwater, FL",3.7,1.2,8.6,6.3,5.1
45780,"Toledo, OH",3.6,-6.4,8.4,-0.9,0.9
46060,"Tucson, AZ",3.5,0.7,5.9,2.3,4.1
46140,"Tulsa, OK",-2.1,-5.9,4.6,-0.0,5.4
47260,"Virginia Beach-Norfolk-Newport News, VA",1.3,-0.6,4.4,1.9,3.0
48620,"Wichita, KS",-0.2,-5.1,1.8,5.5,3.5
49180,"Winston-Salem, NC",1.4,-7.5,7.1,2.8,1.8
49340,"Worcester, MA",1.4,-1.4,6.2,1.6,1.2
